30440.0, 12,5,3,2,0
0.0, 13,5,3,2,0
30000.0, 16,5,3,2,0
0.0, 17,5,3,2,0
39305.0, 9,8,3,2,0
48745.67, 12,8,3,2,0
31639.0, 13,8,3,2,0
48305.67, 16,8,3,2,0
31639.0, 17,8,3,2,0
30440.0, 12,9,3,2,0
0.0, 13,9,3,2,0
30000.0, 16,9,3,2,0
0.0, 17,9,3,2,0
38773.0, 13,12,3,2,0
47106.67, 16,12,3,2,0
30440.0, 17,12,3,2,0
30000.0, 16,13,3,2,0
0.0, 17,13,3,2,0
36020.0, 17,16,3,2,0
38412.0, 8,5,4,2,0
38412.0, 9,5,4,2,0
38412.0, 12,5,4,2,0
38412.0, 13,5,4,2,0
38412.0, 16,5,4,2,0
38412.0, 17,5,4,2,0
39305.0, 9,8,4,2,0
0.0, 12,8,4,2,0
14353.33, 13,8,4,2,0
0.0, 16,8,4,2,0
17106.33, 17,8,4,2,0
14353.33, 12,9,4,2,0
14353.33, 13,9,4,2,0
17106.33, 16,9,4,2,0
17106.33, 17,9,4,2,0
38773.0, 13,12,4,2,0
0.0, 16,12,4,2,0
17638.33, 17,12,4,2,0
17638.33, 16,13,4,2,0
17638.33, 17,13,4,2,0
36020.0, 17,16,4,2,0
39305.0, 9,8,5,2,0
14353.33, 12,8,5,2,0
14353.33, 13,8,5,2,0
17106.33, 16,8,5,2,0
17106.33, 17,8,5,2,0
14353.33, 12,9,5,2,0
0.0, 13,9,5,2,0
17106.33, 16,9,5,2,0
0.0, 17,9,5,2,0
38773.0, 13,12,5,2,0
17638.33, 16,12,5,2,0
17638.33, 17,12,5,2,0
17638.33, 16,13,5,2,0
0.0, 17,13,5,2,0
36020.0, 17,16,5,2,0
39305.0, 12,9,8,2,0
39305.0, 13,9,8,2,0
39305.0, 16,9,8,2,0
39305.0, 17,9,8,2,0
38773.0, 13,12,8,2,0
0.0, 16,12,8,2,0
16745.33, 17,12,8,2,0
16745.33, 16,13,8,2,0
16745.33, 17,13,8,2,0
36020.0, 17,16,8,2,0
38773.0, 13,12,9,2,0
16745.33, 16,12,9,2,0
16745.33, 17,12,9,2,0
16745.33, 16,13,9,2,0
0.0, 17,13,9,2,0
36020.0, 17,16,9,2,0
38773.0, 16,13,12,2,0
38773.0, 17,13,12,2,0
36020.0, 17,16,12,2,0
36020.0, 17,16,13,2,0
38412.0, 8,5,4,3,0
38412.0, 9,5,4,3,0
38412.0, 12,5,4,3,0
38412.0, 13,5,4,3,0
38412.0, 16,5,4,3,0
38412.0, 17,5,4,3,0
39305.0, 9,8,4,3,0
0.0, 12,8,4,3,0
14353.33, 13,8,4,3,0
0.0, 16,8,4,3,0
17106.33, 17,8,4,3,0
14353.33, 12,9,4,3,0
14353.33, 13,9,4,3,0
17106.33, 16,9,4,3,0
17106.33, 17,9,4,3,0
38773.0, 13,12,4,3,0
0.0, 16,12,4,3,0
17638.33, 17,12,4,3,0
17638.33, 16,13,4,3,0
17638.33, 17,13,4,3,0
36020.0, 17,16,4,3,0
39305.0, 9,8,5,3,0
14353.33, 12,8,5,3,0
14353.33, 13,8,5,3,0
17106.33, 16,8,5,3,0
17106.33, 17,8,5,3,0
14353.33, 12,9,5,3,0
0.0, 13,9,5,3,0
17106.33, 16,9,5,3,0
0.0, 17,9,5,3,0
38773.0, 13,12,5,3,0
17638.33, 16,12,5,3,0
17638.33, 17,12,5,3,0
17638.33, 16,13,5,3,0
0.0, 17,13,5,3,0
36020.0, 17,16,5,3,0
39305.0, 12,9,8,3,0
39305.0, 13,9,8,3,0
39305.0, 16,9,8,3,0
39305.0, 17,9,8,3,0
38773.0, 13,12,8,3,0
0.0, 16,12,8,3,0
16745.33, 17,12,8,3,0
16745.33, 16,13,8,3,0
