0.0,0
37556.0,5,12,13,17
42376.0,5,12,16,17
38860.0,5,13,16,17
62738.67,8,9,12,13
38516.0,8,9,12,16
43516.0,8,9,12,17
43516.0,8,9,13,16
38516.0,8,9,13,17
64042.67,8,9,16,17
37556.0,8,12,13,16
42556.0,8,12,13,17
38860.0,8,12,16,17
43860.0,8,13,16,17
42556.0,9,12,13,16
37556.0,9,12,13,17
43860.0,9,12,16,17
38860.0,9,13,16,17
63082.67,12,13,16,17
42751.0,0,1,2,3,4
42751.0,0,1,2,3,5
42751.0,0,1,2,3,8
42751.0,0,1,2,3,9
42751.0,0,1,2,3,12
42751.0,0,1,2,3,13
42751.0,0,1,2,3,16
42751.0,0,1,2,3,17
40000.0,0,1,2,4,5
0.0,0,1,2,4,8
30000.0,0,1,2,4,9
0.0,0,1,2,4,12
30146.0,0,1,2,4,13
0.0,0,1,2,4,16
30000.0,0,1,2,4,17
32605.0,0,1,2,5,8
49271.67,0,1,2,5,9
32605.0,0,1,2,5,12
49417.67,0,1,2,5,13
32605.0,0,1,2,5,16
49271.67,0,1,2,5,17
38516.0,0,1,2,8,9
0.0,0,1,2,8,12
30146.0,0,1,2,8,13
0.0,0,1,2,8,16
30000.0,0,1,2,8,17
30000.0,0,1,2,9,12
46812.67,0,1,2,9,13
30000.0,0,1,2,9,16
46666.67,0,1,2,9,17
37556.0,0,1,2,12,13
0.0,0,1,2,12,16
30000.0,0,1,2,12,17
30146.0,0,1,2,13,16
46812.67,0,1,2,13,17
38860.0,0,1,2,16,17
40000.0,0,1,3,4,5
0.0,0,1,3,4,8
30000.0,0,1,3,4,9
0.0,0,1,3,4,12
30146.0,0,1,3,4,13
0.0,0,1,3,4,16
30000.0,0,1,3,4,17
32605.0,0,1,3,5,8
49271.67,0,1,3,5,9
32605.0,0,1,3,5,12
49417.67,0,1,3,5,13
32605.0,0,1,3,5,16
49271.67,0,1,3,5,17
38516.0,0,1,3,8,9
0.0,0,1,3,8,12
30146.0,0,1,3,8,13
0.0,0,1,3,8,16
30000.0,0,1,3,8,17
30000.0,0,1,3,9,12
46812.67,0,1,3,9,13
30000.0,0,1,3,9,16
46666.67,0,1,3,9,17
37556.0,0,1,3,12,13
0.0,0,1,3,12,16
30000.0,0,1,3,12,17
30146.0,0,1,3,13,16
46812.67,0,1,3,13,17
38860.0,0,1,3,16,17
40000.0,0,1,4,5,8
56666.67,0,1,4,5,9
40000.0,0,1,4,5,12
56812.67,0,1,4,5,13
40000.0,0,1,4,5,16
56666.67,0,1,4,5,17
38516.0,0,1,4,8,9
0.0,0,1,4,8,12
30146.0,0,1,4,8,13
0.0,0,1,4,8,16
30000.0,0,1,4,8,17
30000.0,0,1,4,9,12
46812.67,0,1,4,9,13
30000.0,0,1,4,9,16
46666.67,0,1,4,9,17
37556.0,0,1,4,12,13
0.0,0,1,4,12,16
30000.0,0,1,4,12,17
30146.0,0,1,4,13,16
46812.67,0,1,4,13,17
38860.0,0,1,4,16,17
57787.67,0,1,5,8,9
32605.0,0,1,5,8,12
49417.67,0,1,5,8,13
32605.0,0,1,5,8,16
49271.67,0,1,5,8,17
49271.67,0,1,5,9,12
42751.0,0,1,5,9,13
49271.67,0,1,5,9,16
42751.0,0,1,5,9,17
56827.67,0,1,5,12,13
32605.0,0,1,5,12,16
49271.67,0,1,5,12,17
49417.67,0,1,5,13,16
42751.0,0,1,5,13,17
58131.67,0,1,5,16,17
38516.0,0,1,8,9,12
55328.67,0,1,8,9,13
38516.0,0,1,8,9,16
55182.67,0,1,8,9,17
37556.0,0,1,8,12,13
0.0,0,1,8,12,16
30000.0,0,1,8,12,17
30146.0,0,1,8,13,16
46812.67,0,1,8,13,17
38860.0,0,1,8,16,17
54222.67,0,1,9,12,13
30000.0,0,1,9,12,16
46666.67,0,1,9,12,17
46812.67,0,1,9,13,16
42751.0,0,1,9,13,17
55526.67,0,1,9,16,17
37556.0,0,1,12,13,16
54222.67,0,1,12,13,17
38860.0,0,1,12,16,17
55672.67,0,1,13,16,17
40000.0,0,2,3,4,5
49271.67,0,2,3,4,8
32605.0,0,2,3,4,9
49417.67,0,2,3,4,12
32605.0,0,2,3,4,13
49271.67,0,2,3,4,16
32605.0,0,2,3,4,17
30000.0,0,2,3,5,8
0.0,0,2,3,5,9
30146.0,0,2,3,5,12
0.0,0,2,3,5,13
30000.0,0,2,3,5,16
0.0,0,2,3,5,17
38516.0,0,2,3,8,9
46812.67,0,2,3,8,12
30000.0,0,2,3,8,13
46666.67,0,2,3,8,16
30000.0,0,2,3,8,17
30146.0,0,2,3,9,12
0.0,0,2,3,9,13
30000.0,0,2,3,9,16
0.0,0,2,3,9,17
37556.0,0,2,3,12,13
46812.67,0,2,3,12,16
30146.0,0,2,3,12,17
30000.0,0,2,3,13,16
0.0,0,2,3,13,17
38860.0,0,2,3,16,17
40000.0,0,2,4,5,8
40000.0,0,2,4,5,9
40000.0,0,2,4,5,12
40000.0,0,2,4,5,13
40000.0,0,2,4,5,16
40000.0,0,2,4,5,17
38516.0,0,2,4,8,9
0.0,0,2,4,8,12
17193.33,0,2,4,8,13
0.0,0,2,4,8,16
15889.33,0,2,4,8,17
17193.33,0,2,4,9,12
17193.33,0,2,4,9,13
15889.33,0,2,4,9,16
15889.33,0,2,4,9,17
37556.0,0,2,4,12,13
0.0,0,2,4,12,16
16849.33,0,2,4,12,17
16849.33,0,2,4,13,16
16849.33,0,2,4,13,17
38860.0,0,2,4,16,17
38516.0,0,2,5,8,9
17193.33,0,2,5,8,12
17193.33,0,2,5,8,13
15889.33,0,2,5,8,16
15889.33,0,2,5,8,17
17193.33,0,2,5,9,12
0.0,0,2,5,9,13
15889.33,0,2,5,9,16
0.0,0,2,5,9,17
37556.0,0,2,5,12,13
16849.33,0,2,5,12,16
16849.33,0,2,5,12,17
16849.33,0,2,5,13,16
0.0,0,2,5,13,17
38860.0,0,2,5,16,17
38516.0,0,2,8,9,12
38516.0,0,2,8,9,13
38516.0,0,2,8,9,16
38516.0,0,2,8,9,17
37556.0,0,2,8,12,13
0.0,0,2,8,12,16
18333.33,0,2,8,12,17
18333.33,0,2,8,13,16
18333.33,0,2,8,13,17
38860.0,0,2,8,16,17
37556.0,0,2,9,12,13
18333.33,0,2,9,12,16
18333.33,0,2,9,12,17
18333.33,0,2,9,13,16
0.0,0,2,9,13,17
38860.0,0,2,9,16,17
37556.0,0,2,12,13,16
37556.0,0,2,12,13,17
38860.0,0,2,12,16,17
38860.0,0,2,13,16,17
40000.0,0,3,4,5,8
40000.0,0,3,4,5,9
40000.0,0,3,4,5,12
40000.0,0,3,4,5,13
40000.0,0,3,4,5,16
40000.0,0,3,4,5,17
38516.0,0,3,4,8,9
0.0,0,3,4,8,12
17193.33,0,3,4,8,13
0.0,0,3,4,8,16
15889.33,0,3,4,8,17
17193.33,0,3,4,9,12
17193.33,0,3,4,9,13
15889.33,0,3,4,9,16
15889.33,0,3,4,9,17
37556.0,0,3,4,12,13
0.0,0,3,4,12,16
16849.33,0,3,4,12,17
16849.33,0,3,4,13,16
16849.33,0,3,4,13,17
38860.0,0,3,4,16,17
38516.0,0,3,5,8,9
17193.33,0,3,5,8,12
17193.33,0,3,5,8,13
15889.33,0,3,5,8,16
15889.33,0,3,5,8,17
17193.33,0,3,5,9,12
0.0,0,3,5,9,13
15889.33,0,3,5,9,16
0.0,0,3,5,9,17
37556.0,0,3,5,12,13
16849.33,0,3,5,12,16
16849.33,0,3,5,12,17
16849.33,0,3,5,13,16
0.0,0,3,5,13,17
38860.0,0,3,5,16,17
38516.0,0,3,8,9,12
38516.0,0,3,8,9,13
38516.0,0,3,8,9,16
38516.0,0,3,8,9,17
37556.0,0,3,8,12,13
0.0,0,3,8,12,16
18333.33,0,3,8,12,17
18333.33,0,3,8,13,16
18333.33,0,3,8,13,17
38860.0,0,3,8,16,17
37556.0,0,3,9,12,13
18333.33,0,3,9,12,16
18333.33,0,3,9,12,17
18333.33,0,3,9,13,16
0.0,0,3,9,13,17
38860.0,0,3,9,16,17
37556.0,0,3,12,13,16
37556.0,0,3,12,13,17
38860.0,0,3,12,16,17
38860.0,0,3,13,16,17
65182.67,0,4,5,8,9
40000.0,0,4,5,8,12
43860.0,0,4,5,8,13
40000.0,0,4,5,8,16
42556.0,0,4,5,8,17
43860.0,0,4,5,9,12
40000.0,0,4,5,9,13
42556.0,0,4,5,9,16
40000.0,0,4,5,9,17
64222.67,0,4,5,12,13
40000.0,0,4,5,12,16
43516.0,0,4,5,12,17
43516.0,0,4,5,13,16
40000.0,0,4,5,13,17
65526.67,0,4,5,16,17
38516.0,0,4,8,9,12
42376.0,0,4,8,9,13
38516.0,0,4,8,9,16
41072.0,0,4,8,9,17
37556.0,0,4,8,12,13
0.0,0,4,8,12,16
30000.0,0,4,8,12,17
30146.0,0,4,8,13,16
53333.33,0,4,8,13,17
38860.0,0,4,8,16,17
41416.0,0,4,9,12,13
30000.0,0,4,9,12,16
53333.33,0,4,9,12,17
53333.33,0,4,9,13,16
32605.0,0,4,9,13,17
41416.0,0,4,9,16,17
37556.0,0,4,12,13,16
41072.0,0,4,12,13,17
38860.0,0,4,12,16,17
